id_article,response_variable,measured_metrics,measured_unit,yi,vi,silvo_mean,silvo_se,silvo_sd,silvo_n,control_mean,control_se,control_sd,control_n,id_obs,experimental_design,comparator,tree_crop_combination_t,sub_response_variable,alley_width,distance_tree_m,study_year_start,study_year_end,comments,min_value_shift,row_id
1,Biodiversity,Abundance of Bombus,Number,0.6333903588376537,0.06418873774191244,67.475,12.31704411674401,49.26817646697604,16,35.815,6.29234318385795,25.1693727354318,16,1,NA,Monoculture,Fruit-Arable,Pollinators,24,Alley,2011,2013,Abundance of bumble bees,19.145,1
1,Biodiversity,Abundance of solitary bee,Number,0.19850776996863856,0.03607279452282416,23.605,4.239121932825645,16.95648773130258,16,19.355,1.196531718787542,4.786126875150168,16,2,NA,Monoculture,Fruit-Arable,Pollinators,24,Alley,2011,2013,Abundance ofsolitary bees,19.145,2
1,Biodiversity,Abundance of hoverfly,Number,0.7706863012749653,0.09772011459787149,101.261,20.379956015790807,81.51982406316323,16,46.852999999999994,11.206965580800588,44.827862323202346,16,3,NA,Monoculture,Fruit-Arable,Pollinators,24,Alley,2011,2013,Abundance of hoverfly,19.145,3
1,Biodiversity,Species richness of solitary bee,Number of species,0.136656537946825,0.08913550021638103,39.145,8.297255738356863,33.189022953427454,16,34.144999999999996,7.179190312725251,28.716761250901005,16,4,NA,Monoculture,Mixed-Arable,Pollinators,24,Alley,2011,2013,Species richness of solitary bee in 2011 in Berkshire,19.145,4
1,Biodiversity,Species richness of solitary bee,Number of species,0.1821758403371047,0.0383898029390174,48.035,6.948557316587743,27.79422926635097,16,40.035,5.2907439779123795,21.16297591164952,16,5,NA,Monoculture,Mixed-Arable,Pollinators,24,Alley,2011,2013,Species richness of solitary bee in 2012 in Berkshire,19.145,5
1,Biodiversity,Species richness of solitary bee,Number of species,0.34944704180258096,0.04981436400749169,36.925,6.306058411803057,25.224233647212227,16,26.035,3.741120944303733,14.964483777214932,16,6,NA,Monoculture,Fruit-Arable,Pollinators,24,Alley,2011,2013,Species richness of solitary bee in 2011 in Cambridgeshire,19.145,6
1,Biodiversity,Species richness of solitary bee,Number of species,0.41542558416653286,0.06537892729051419,32.035,6.665710864794651,26.662843459178603,16,21.145,3.142246235950096,12.568984943800384,16,7,NA,Monoculture,Fruit-Arable,Pollinators,24,Alley,2011,2013,Species richness of solitary bee in 2012 in Cambridgeshire,19.145,7
2,Crop yield,Yield of winter wheat,t/ha,-0.20647201702623771,3.298079831702819e-4,20.625,0.3039999999999998,0.4299209229614207,2,25.355,0.26900000000000013,0.3804234482783628,2,8,NA,Monoculture,Biomass-Arable,Yield of annual crops,48,1,2018,2019,Yield of winter wheat at 1 m from tree row at windward side,19.145,8
2,Crop yield,Yield of winter wheat,t/ha,-0.2629059611119444,0.08865029128035169,20.585,5.6,7.919595949289333,2,26.775,3.24,4.582051942088828,2,9,NA,Monoculture,Biomass-Arable,Yield of annual crops,48,1,2018,2019,Yield of winter wheat at 1 m from tree row at leeward side,19.145,9
2,Crop yield,Yield of winter wheat,t/ha,0.01325853090291198,0.10226926905434876,25.055,5.3,7.495331880577404,2,24.725,5.93,8.386286424872454,2,10,NA,Monoculture,Biomass-Arable,Yield of annual crops,48,4,2018,2019,Yield of winter wheat at 4 m from tree row at windward side,19.145,10
