Coefficient,Std_Error,CI_Lower,CI_Upper,P_Value,Moderator
0.01193917447497485,0.08879034886167378,-0.16208671146865272,0.18596506041860245,0.8930350618480156,intrcpt
-0.023154902912038762,0.02143814798441164,-0.06517290085672553,0.018863095032648,0.28010680562655094,tree_crop_combination_tFruit-Arable
0.011795962290572191,0.011878645340527834,-0.011485754761986884,0.03507767934313127,0.3206907767007466,tree_crop_combination_tMixed-Arable
-0.02193463404419135,0.1238211444661942,-0.26461961772246295,0.22075034963408027,0.8593923555795491,"tree_crop_combination_tMixed-Arable (Timber.Arable, Biomass.Arable &Mixed)"
-3.8154352838054914e-4,2.0487778599699864e-4,-7.83096610166971e-4,2.0009553405872754e-5,0.06256107161245912,tree_crop_combination_tMixed -Arable
-0.06506168024137864,0.046127379602058455,-0.15546968296262073,0.02534632247986346,0.15839842099674276,tree_crop_combination_tNut-Arable
0.1131038730437808,0.12367188498664915,-0.12928856743023132,0.35549631351779293,0.36042897668855806,tree_crop_combination_tShelterBelt
-0.07723688069484222,0.04560853156942937,-0.16662795995868185,0.01215419856899741,0.09036520343478226,tree_crop_combination_tTimber-Arable
0.02948186890105711,0.10964338541260298,-0.18541521765068902,0.24437895545280325,0.7880153221704735,alley_width10
0.08385548187192397,0.09763993958844443,-0.10751528317409371,0.2752262469179417,0.3904378595150338,alley_width11
0.26646080106840414,0.09763098649044022,0.07510758377202476,0.4578140183647835,0.006347573811943411,alley_width12
0.019004426554821593,0.09914270531215087,-0.17531170518686198,0.21332055829650517,0.8479869250392471,alley_width12.5
0.03157365105947516,0.13280159317544915,-0.22871268865394537,0.2918599907728957,0.8120745787639119,alley_width14
-0.027031444351275875,0.09820426723114523,-0.21950827125246752,0.16544538254991575,0.783118544693973,alley_width15
-0.06712876648839679,0.10025254781235689,-0.26362014955899604,0.1293626165822025,0.5031149735906009,alley_width21
-0.009193332935850923,0.09757922779662827,-0.20044510505647203,0.1820584391847702,0.9249391348027257,alley_width24
-0.009786819311876329,0.12189737830601484,-0.2487012906015195,0.22912765197776683,0.936008706994384,alley_width26
-0.04805822843396069,0.12564798206259847,-0.2943237480067884,0.19820729113886704,0.7021030693902823,alley_width26 to 28
0.042415647735535605,0.09763482369473368,-0.14894509034306028,0.2337763858141315,0.6639750916038043,alley_width27
0.005802178586768038,0.12173957759191427,-0.2328030089865033,0.24440736616003939,0.9619867528817454,alley_width4.5
-0.0288182402811286,0.12204582164450424,-0.2680236551679559,0.21038717460569867,0.8133345902182907,alley_width40
-0.09910132282793542,0.09510039108588826,-0.2854946642719504,0.08729201861607956,0.29737894204325105,alley_width48
0.016780881212004207,0.11976241544659373,-0.21794913976484293,0.25151090218885136,0.8885666858218443,alley_width5
0.007692628597087155,0.10974709591095345,-0.2074077267962446,0.22279298399041894,0.9441187287190383,alley_width6
-0.012595148264152591,0.13105916748152405,-0.2694663963717427,0.2442760998434375,0.9234389559845704,alley_width60
0.07981376537650853,0.13191668336274082,-0.1787381829744376,0.33836571372745466,0.5451579834534075,alley_width8.5
-0.07739520739600683,0.09758360649134139,-0.2686555616005649,0.11386514680855128,0.4277097178194902,alley_width9
0.05694095040493276,0.12931450729386568,-0.19651082656958607,0.31039272737945156,0.6596987125711398,alley_width9.6999999999999993
-0.01627955479454744,0.09622901056038442,-0.2048849497608254,0.17232584017173055,0.8656588959136411,alley_width96
