Coefficient,Std_Error,CI_Lower,CI_Upper,P_Value,Moderator
-0.19345787649062762,0.318532586210986,-0.8177702733665599,0.4308545203853047,0.5436246822236785,intrcpt
0.14114548491936615,0.2893351346332679,-0.42594095842388646,0.7082319282626188,0.6256723993165401,tree_crop_combination_tApple-Legume
0.10611802474355699,0.19136774075079008,-0.2689558549307896,0.48119190441790355,0.5792202149996947,tree_crop_combination_tMaple-Cereal
0.18706566809306685,0.20240871966929688,-0.20964813261561904,0.5837794688017528,0.3553834059897493,tree_crop_combination_tMaple-Legume
0.04919437540612165,0.1433244473149674,-0.23171637943532292,0.3301051302475662,0.7314195307906066,tree_crop_combination_tMixed-Cereal
0.05351669513338546,0.14332408494552784,-0.2273933494770084,0.33442673974377934,0.7088534499803287,tree_crop_combination_tMixed-Legume
-0.20617464499097113,0.36332043417289245,-0.9182696108172957,0.5059203208353534,0.57039266313372,tree_crop_combination_tPaulownia-Cereal
0.016279652554432773,0.14311261309341675,-0.2642159148420794,0.2967752199509449,0.9094326916840675,tree_crop_combination_tPoplar-Cereal
0.05428076287539482,0.1433231737909461,-0.22662749590483452,0.33518902165562414,0.7048884910736279,tree_crop_combination_tPoplar-Legume
0.011707220168407872,0.007290638926313316,-0.0025821695514519957,0.02599660988826774,0.10832050815262156,seasonWinter
-0.49090195392835145,0.9920998431226364,-2.4353819155165564,1.4535780076598535,0.6207335115308027,seasonWinter and Summer
-0.0915543779029226,0.28614682160611327,-0.6523918425415124,0.46928308673566715,0.7490017240232563,alley_width10
-0.19301905132370292,0.34945971228968564,-0.877947501459216,0.4919093988118102,0.5807184217138049,alley_width15
-0.04427218357217434,0.27534480657986526,-0.5839380877988575,0.4953937206545088,0.8722602544078644,alley_width40
-0.013885649630441631,0.01830839693158742,-0.0497694482310166,0.021998148970133344,0.44819320693994663,alley_width48
-0.10162585777941345,0.2859732342151715,-0.6621230973835871,0.45887138182476017,0.722313600479044,alley_width6
0.04806180605958424,0.04002917999199912,-0.030393945055405353,0.12651755717457383,0.22987952153075952,tree_row_orientationNE
0.052093485627440775,0.04002526860340595,-0.026354599306776666,0.13054157056165822,0.19308224924417033,soil_textureClay loam
0.028465463662925378,0.04835230779529933,-0.0663033181852566,0.12323424551110736,0.5560561540441809,soil_textureSandy clay loam
-0.07446013992344512,0.25888655869446486,-0.5818684710461111,0.4329481911992208,0.7736400351635888,soil_textureSilty  clay
0.024115641951361025,0.03783558668641058,-0.05004074528794686,0.09827202919066891,0.5238774264178289,tree_height
