estimate,se,ci.lb,ci.ub,id_article
-0.010339307700792688,0.010571754894803885,-0.031059566547993328,0.01038095114640795,1
-0.0038405576379208326,0.009338178896382348,-0.02214305195602222,0.014461936680180556,2
-0.009724931386487012,0.010829703531510037,-0.030950760271492916,0.011500897498518892,3
-0.010058856674597983,0.010817142943925839,-0.031260067260314196,0.01114235391111823,4
-0.010044959943328418,0.011116315630649184,-0.03183253822018048,0.011742618333523639,5
-0.00579354368670701,0.009976598653280808,-0.025347317735348197,0.013760230361934179,6
-0.009922622658752097,0.010830883644258273,-0.03115076452224224,0.011305519204738046,7
-0.009789957984373552,0.010835181743645143,-0.031026523967863935,0.01144660799911683,8
-0.009559712968616527,0.010838877847891273,-0.030803523183312427,0.011684097246079375,9
-0.008086861527624493,0.010717801877425416,-0.029093367200814083,0.012919644145565096,10
-0.009847575919302683,0.010833788588694227,-0.031081411369264386,0.01138625953065902,11
-0.006361448004810148,0.01065813489235671,-0.027251008536198985,0.01452811252657869,12
-0.010061528748833143,0.010747038984328295,-0.03112533809856452,0.011002280600898235,13
-0.010366734892754994,0.011112772987403043,-0.03214736971643454,0.011413899930924551,14
-0.010806370846540065,0.010545963402983556,-0.0314760792986653,0.00986333760558517,15
-0.01025099584124535,0.010803416865610363,-0.031425303807814255,0.010923312125323555,16
-0.009020098721240922,0.010796032480315552,-0.030179933558584032,0.012139736116102189,17
-0.007817052917634114,0.010860471707647312,-0.029103186319739065,0.013469080484470835,18
-0.01006581188292238,0.010829392444951189,-0.03129103104947687,0.011159407283632109,19
-0.009767884692324995,0.010839756107309485,-0.031013416263849673,0.011477646879199685,20
-0.00999754722903859,0.010953009450594318,-0.031465051274530295,0.011469956816453117,21
-0.009804066752234476,0.01083874561342797,-0.03104761779214479,0.011439484287675838,22
-0.010018640136182816,0.010812328135555943,-0.031210413870901572,0.01117313359853594,23
-0.009828297108179342,0.01083530405439822,-0.03106510281634068,0.011408508599981994,24
-0.010792668186751533,0.010758875768661889,-0.03187967720746952,0.010294340833966457,25
-0.010224240996538816,0.011427577381080281,-0.032621881094000715,0.012173399100923087,26
-0.008856084483702054,0.011046578012280008,-0.030506979540182926,0.012794810572778818,27
-0.011799139655572012,0.01055273993168047,-0.032482129859883406,0.00888385054873938,28
-0.00976814555213726,0.010739743379825816,-0.03081765577979833,0.01128136467552381,29
-0.016168420791929206,0.008503382564928703,-0.03283474436595529,4.979027820968783e-4,30
-0.008549854468860545,0.010739115665553382,-0.02959813439915506,0.012498425461433973,31
-0.009884937306660546,0.01083367968503967,-0.03111855930938153,0.011348684696060441,32
-0.008298736630476136,0.011026276999889173,-0.02990984243382127,0.013312369172869,33
-0.009265211055088382,0.01110222359214387,-0.03102516944400127,0.012494747333824505,34
-0.009980946456938597,0.010833265353227565,-0.031213756384230212,0.011251863470353016,35
-0.009111314784576842,0.010747352685158569,-0.03017573897663748,0.011953109407483795,36
-0.00918567606062469,0.010826852792408475,-0.030405917599662213,0.012034565478412834,37
